iter	Passed	Remaining
0	79	23796
1	100	14972
2	116	11491
3	129	9615
4	147	8722
5	161	7934
6	178	7477
7	193	7065
8	222	7185
9	255	7405
10	287	7541
11	306	7356
12	330	7298
13	345	7059
14	379	7210
15	406	7223
16	424	7063
17	457	7160
18	486	7201
19	516	7225
20	540	7184
21	561	7097
22	593	7149
23	621	7152
24	647	7120
25	674	7112
26	697	7052
27	725	7043
28	753	7045
29	779	7012
30	805	6993
31	815	6826
32	844	6834
33	899	7034
34	915	6933
35	929	6818
36	959	6823
37	987	6808
38	1015	6796
39	1044	6790
40	1072	6778
41	1100	6763
42	1133	6775
43	1154	6718
44	1185	6718
45	1208	6672
46	1231	6629
47	1253	6583
48	1281	6566
49	1311	6556
50	1328	6486
51	1356	6467
52	1384	6454
53	1415	6450
54	1446	6444
55	1472	6415
56	1494	6369
57	1509	6298
58	1524	6225
59	1540	6160
60	1563	6127
61	1581	6069
62	1598	6012
63	1613	5949
64	1636	5916
65	1652	5859
66	1669	5806
67	1692	5775
68	1707	5714
69	1722	5659
70	1735	5597
71	1763	5583
72	1781	5538
73	1795	5482
74	1814	5443
75	1829	5390
76	1848	5353
77	1873	5332
78	1893	5296
79	1906	5241
80	1927	5210
81	1946	5173
82	1969	5150
83	1980	5091
84	1992	5040
85	2011	5004
86	2031	4974
87	2055	4952
88	2076	4923
89	2095	4888
90	2110	4846
91	2123	4801
92	2138	4760
93	2153	4719
94	2170	4682
95	2190	4654
96	2212	4630
97	2228	4592
98	2239	4547
99	2263	4527
100	2278	4490
101	2296	4457
102	2310	4419
103	2330	4391
104	2349	4364
105	2360	4320
106	2380	4293
107	2393	4254
108	2407	4219
109	2419	4179
110	2434	4145
111	2448	4110
112	2464	4078
113	2477	4042
114	2490	4006
115	2500	3966
116	2511	3928
117	2523	3891
118	2528	3846
119	2542	3814
120	2554	3779
121	2567	3746
122	2579	3711
123	2589	3674
124	2599	3639
125	2611	3606
126	2622	3572
127	2633	3539
128	2649	3512
129	2660	3479
130	2671	3446
131	2681	3412
132	2690	3378
133	2702	3347
134	2712	3315
135	2722	3282
136	2729	3247
137	2738	3214
138	2749	3184
139	2761	3156
140	2774	3128
141	2784	3098
142	2795	3068
143	2804	3037
144	2814	3008
145	2824	2979
146	147	3183	3147	148	3197	3148	149	3214	3214
150	3232	3190
151	3251	3165
152	3268	3140
153	3285	3114
154	3302	3089
155	3314	3059
156	3333	3036
157	3356	3016
158	3370	2989
159	3382	2959
160	3395	2931
161	3411	2905
162	3420	2875
163	3438	2851
164	3455	2827
165	3473	2803
166	3489	2779
167	3503	2753
168	3515	2725
169	3532	2701
170	3547	2676
171	3562	2651
172	3576	2625
173	3589	2599
174	3602	2573
175	3616	2547
176	3632	2524
177	3651	2502
178	3666	2478
179	3683	2455
180	3699	2432
181	3719	2411
182	3732	2386
183	3749	2364
184	3760	2337
185	3776	2314
186	3793	2292
187	3808	2268
188	3825	2246
189	3840	2223
190	3852	2198
191	3871	2177
192	3891	2157
193	3909	2136
194	3920	2110
195	3934	2087
196	3949	2064
197	3964	2042
198	3981	2020
199	3996	1998
200	4011	1975
201	4023	1951
202	4036	1928
203	4053	1907
204	4073	1887
205	4087	1865
206	4098	1841
207	4112	1819
208	4126	1796
209	4139	1774
210	4156	1753
211	4170	1731
212	4187	1710
213	4209	1691
214	4222	1669
215	4237	1647
216	4251	1626
217	4264	1604
218	4275	1581
219	4290	1560
220	4300	1537
221	4310	1514
222	4321	1492
223	4338	1471
224	4356	1452
225	4372	1431
226	4384	1409
227	4394	1387
228	4406	1366
229	4415	1343
230	4424	1321
231	4439	1301
232	4454	1280
233	4464	1259
234	4473	1237
235	4479	1214
236	4487	1192
237	4495	1171
238	4503	1149
239	4512	1128
240	4520	1106
241	4529	1085
242	4538	1064
243	4547	1043
244	4553	1022
245	4559	1000
246	4565	979
247	4571	958
248	4577	937
249	4584	916
250	4590	896
251	4596	875
252	4602	854
253	4608	834
254	4615	814
255	4621	794
256	4628	774
257	4634	754
258	4640	734
259	4647	715
260	4653	695
261	4658	675
262	4664	656
263	4670	636
264	4676	617
265	4682	598
266	4688	579
267	4695	560
268	4703	542
269	4710	523
270	4717	504
271	4723	486
272	4730	467
273	4736	449
274	4743	431
275	4749	412
276	4754	394
277	4761	376
278	4768	358
279	4774	341
280	4781	323
281	4788	305
282	4795	288
283	4802	270
284	4809	253
285	4816	235
286	4822	218
287	4828	201
288	4835	184
289	4840	166
290	4846	149
291	4851	132
292	4856	116
293	4862	99
294	4868	82
295	4873	65
296	4878	49
297	4883	32
298	4888	16
299	4893	0
